transaction_id,user_id,merchant_id,device_id,amount,hour,day_of_week,transaction_amount_deviation,is_high_value,is_odd_hour,upi_channel,transaction_status,merchant_category,device_os,default_city,default_state,transaction_city,transaction_state,fraud,transaction_date,transaction_time,
5001,252,1152,534,26912.44,9,Saturday,10.96,1,0,PhonePe,Pending,Food,Windows,Tumkur,Karnataka,Karnal,Haryana,1,5/4/2024,9:31:06 AM,
5002,1000,148,752,652.91,17,Friday,-84.16,0,0,PhonePe,Failed,Utilities,Android,Begusarai,Bihar,Dhanbad,Jharkhand,0,3/3/2023,5:59:41 PM,
5003,1039,438,658,5585.9,4,Monday,-87.95,1,1,PhonePe,Completed,Healthcare,Android,Bikaner,Rajasthan,Kurnool,Andhra Pradesh,0,1/8/2024,4:11:12 AM,
5004,1594,198,414,7194.29,19,Monday,-50.65,1,0,GPay,Pending,Utilities,Android,Muzaffarnagar,Uttar Pradesh,Berhampur,Odisha,0,2/27/2023,7:16:53 PM,
5005,1795,1130,807,6298.67,0,Saturday,-10.5,1,1,PhonePe,Failed,Travel,Windows,Coimbatore,Tamil Nadu,Pimpri-Chinchwad,Maharashtra,0,12/30/2023,12:21:26 AM,
5006,1419,269,340,16407.07,5,Friday,-5.23,1,1,PhonePe,Completed,Utilities,iOS,Vijayawada,Andhra Pradesh,New Delhi,Delhi,0,1/6/2023,5:07:27 AM,
5007,1946,926,546,39208.22,22,Tuesday,-92.85,1,0,GPay,Completed,Shopping,iOS,Jhansi,Uttar Pradesh,Prayagraj,Uttar Pradesh,1,10/31/2023,10:40:25 PM,
5008,1042,1256,578,14400.12,10,Sunday,91.03,1,0,GPay,Completed,Shopping,iOS,Navi Mumbai,Maharashtra,Satna,Madhya Pradesh,0,9/24/2023,10:16:04 AM,
5009,907,282,794,5956.84,17,Tuesday,97.14,1,0,BHIM,Completed,Utilities,Android,Prayagraj,Uttar Pradesh,Mirzapur,Uttar Pradesh,0,3/14/2023,5:56:14 PM,
5010,1619,146,538,72156.29,0,Tuesday,13.27,1,1,GPay,Pending,Food,Android,Gopalpur,Odisha,Thoothukudi,Tamil Nadu,1,2/28/2023,12:04:39 AM,
5011,717,41,699,2630.34,18,Thursday,-78.68,0,0,PhonePe,Pending,Utilities,Android,Panihati,West Bengal,Bhavnagar,Gujarat,0,7/6/2023,6:20:17 PM,
5012,736,599,108,5490.25,9,Sunday,-79.33,1,0,PhonePe,Failed,Utilities,Android,Jaipur,Rajasthan,Ozhukarai,Puducherry,0,5/14/2023,9:23:55 AM,
5013,1910,701,285,17758.63,5,Wednesday,-78.09,1,1,GPay,Pending,Healthcare,iOS,Loni,Uttar Pradesh,Bhatpara,West Bengal,1,1/18/2023,5:16:37 AM,
5014,1417,267,181,2218.92,11,Friday,75.54,0,0,PhonePe,Failed,Education,Android,Raichur,Karnataka,Bardhaman,West Bengal,0,12/15/2023,11:22:05 AM,
5015,1544,1261,289,15730.35,1,Sunday,63.69,1,1,GPay,Pending,Food,iOS,Siliguri,West Bengal,Bangalore,Karnataka,1,7/23/2023,1:14:44 AM,
5016,1742,513,747,10945.98,1,Thursday,-89.17,1,1,PayTM,Failed,Utilities,iOS,Siliguri,West Bengal,Ratlam,Madhya Pradesh,1,4/25/2024,1:04:54 AM,
5017,1475,991,388,1560.35,14,Monday,51.51,0,0,GPay,Completed,Utilities,iOS,Vijayawada,Andhra Pradesh,Amritsar,Punjab,0,1/29/2024,2:45:41 PM,
5018,688,363,277,5461.48,11,Sunday,-45.8,1,0,GPay,Failed,Food,iOS,Jamshedpur,Jharkhand,Thoothukudi,Tamil Nadu,0,4/23/2023,11:37:02 AM,
5019,1459,1206,40,1774.11,21,Sunday,66.88,0,0,PhonePe,Pending,Healthcare,Android,Bhilai,Chhattisgarh,Ahmednagar,Maharashtra,0,4/16/2023,9:54:01 PM,
5020,394,31,187,14661.49,7,Saturday,-79.43,1,0,PhonePe,Pending,Shopping,Android,Bhilai,Chhattisgarh,Bhilai,Chhattisgarh,0,5/18/2024,7:47:16 AM,
5021,525,343,340,34824.69,16,Saturday,-54.19,1,0,PhonePe,Pending,Utilities,iOS,Tiruvottiyur,Tamil Nadu,Thoothukudi,Tamil Nadu,1,4/13/2024,4:19:27 PM,
5022,432,1410,23,98857.63,6,Sunday,-16.12,1,0,GPay,Completed,Shopping,iOS,Karimnagar,Telangana,Panihati,West Bengal,0,10/29/2023,6:13:33 AM,
5023,1719,1333,666,6983.4,21,Friday,69.49,1,0,GPay,Completed,Education,Android,Delhi,Delhi,Hubli-Dharwad,Karnataka,0,4/5/2024,9:06:51 PM,
5024,54,378,981,8213.09,10,Saturday,15.82,1,0,BHIM,Pending,Food,iOS,Bardhaman,West Bengal,Muzaffarnagar,Uttar Pradesh,0,11/4/2023,10:13:22 AM,
5025,522,1008,896,17693.85,2,Monday,75.96,1,1,PhonePe,Completed,Utilities,iOS,Kirari Suleman Nagar,Delhi,Bhilwara,Rajasthan,1,4/8/2024,2:25:28 AM,
5026,288,334,678,19588.2,8,Saturday,81.51,1,0,PayTM,Failed,Shopping,iOS,Muzaffarpur,Bihar,Anantapur,Andhra Pradesh,1,10/28/2023,8:22:10 AM,
5027,26,1299,154,99979.03,8,Monday,-62.45,1,0,PhonePe,Completed,Food,Android,Mau,Uttar Pradesh,Cuttack,Odisha,1,10/2/2023,8:28:54 AM,
5028,981,1312,216,1141.18,2,Friday,-89.13,0,1,GPay,Completed,Travel,iOS,Shivamogga,Karnataka,Tirunelveli,Tamil Nadu,0,5/3/2024,2:11:11 AM,
5029,492,1113,868,15231.69,2,Monday,-18.58,1,1,PhonePe,Failed,Healthcare,Android,Meerut,Uttar Pradesh,Rajahmundry,Andhra Pradesh,1,1/1/2024,2:11:10 AM,
5030,1497,1276,943,11069.13,2,Wednesday,75.02,1,1,PhonePe,Failed,Travel,iOS,Jammu,Jammu and Kashmir,Patna,Bihar,1,12/6/2023,2:07:31 AM,
5031,1720,451,677,14077.06,10,Saturday,19.29,1,0,PhonePe,Failed,Utilities,Android,Kolhapur,Maharashtra,Kolhapur,Maharashtra,0,4/15/2023,10:16:06 AM,
5032,1007,646,726,10317.84,2,Thursday,8.73,1,1,PayTM,Failed,Shopping,iOS,Kamarhati,West Bengal,Gwalior,Madhya Pradesh,0,6/22/2023,2:26:46 AM,
5033,815,858,410,16304.01,4,Friday,20.64,1,1,PhonePe,Completed,Food,Android,Raichur,Karnataka,Dehradun,Uttarakhand,1,4/7/2023,4:38:03 AM,
5034,1499,231,859,9397.96,8,Monday,51.23,1,0,PhonePe,Failed,Education,Android,Gorakhpur,Uttar Pradesh,Bhavnagar,Gujarat,0,8/21/2023,8:52:35 AM,
