transaction_id,user_id,merchant_id,device_id,amount,hour,day_of_week,transaction_amount_deviation,is_high_value,is_odd_hour,upi_channel,transaction_status,merchant_category,device_os,default_city,default_state,transaction_city,transaction_state,fraud
1,690,760,699,4705.01,15,Friday,33.02,1,0,Paytm,Completed,Water Bill,Android,Gorakhpur,Uttar Pradesh,Kolhapur,Maharashtra,1
2,1998,730,539,4352.84,12,Tuesday,-19.64,1,0,GPay,Pending,Gas Bill,Windows,Jodhpur,Rajasthan,Mumbai,Maharashtra,0
3,53,1233,126,1842.78,5,Tuesday,23.67,0,1,Paytm,Completed,Travel Booking,iOS,Dhanbad,Jharkhand,Begusarai,Bihar,0
4,1055,847,287,84.13,15,Wednesday,-27.96,0,0,GPay,Pending,Gas Bill,Android,Hyderabad,Telangana,Mau,Uttar Pradesh,1
5,1389,910,240,3063.35,7,Thursday,-83.73,1,0,BHIM,Failed,Water Bill,Windows,Muzaffarpur,Bihar,Kozhikode,Kerala,1
6,1349,1433,674,976.19,17,Thursday,-71.37,0,0,BHIM,Failed,Travel Booking,Windows,Kochi,Kerala,Bhavnagar,Gujarat,0
7,66,262,510,4981.53,20,Friday,97.44,1,0,GPay,Failed,DTH Recharge,Windows,Amritsar,Punjab,Durgapur,West Bengal,1
8,1956,237,494,852.99,18,Monday,88.84,0,0,PhonePe,Completed,Electricity Bill,Android,Bhopal,Madhya Pradesh,Guntur,Andhra Pradesh,0
9,891,1466,204,3831.78,15,Wednesday,-55.92,1,0,PhonePe,Pending,Food Delivery,iOS,New Delhi,Delhi,Jamnagar,Gujarat,0
10,1949,1374,127,3627.35,0,Thursday,-81.91,1,1,PhonePe,Failed,Travel Booking,Android,Imphal,Manipur,Chandrapur,Maharashtra,0
11,1909,1180,785,1885.67,15,Friday,43.49,0,0,GPay,Pending,Education Fees,iOS,Kanpur,Uttar Pradesh,Sonipat,Haryana,0
12,1340,1316,804,1296.21,7,Friday,-41.8,0,0,BHIM,Completed,Food Delivery,Windows,Bardhaman,West Bengal,Mira-Bhayandar,Maharashtra,1
13,1517,1213,207,637.96,11,Friday,-37.33,0,0,GPay,Pending,Electricity Bill,Android,Bharatpur,Rajasthan,Khammam,Telangana,0
14,637,127,605,1598.9,5,Monday,-27.0,0,1,PhonePe,Pending,Online Shopping,Android,Maheshtala,West Bengal,Udaipur,Rajasthan,0
15,1065,1360,49,2691.93,7,Wednesday,-7.88,0,0,GPay,Completed,Mobile Recharge,iOS,Chandigarh,Chandigarh,Davanagere,Karnataka,1
16,1715,449,858,1417.68,5,Tuesday,49.41,0,1,BHIM,Failed,Electricity Bill,Android,Bardhaman,West Bengal,Ranchi,Jharkhand,0
17,1227,656,445,2870.29,3,Sunday,26.22,0,1,GPay,Failed,Electricity Bill,Android,Gaya,Bihar,Bhilai,Chhattisgarh,0
18,1443,772,61,1053.85,8,Thursday,46.53,0,0,Paytm,Failed,Electricity Bill,Android,Surat,Gujarat,Gwalior,Madhya Pradesh,0
19,1891,367,761,4561.97,12,Thursday,-68.16,1,0,BHIM,Failed,Mobile Recharge,Android,Junagadh,Gujarat,Dehradun,Uttarakhand,1
20,692,866,695,1955.92,11,Tuesday,5.57,0,0,BHIM,Pending,Food Delivery,iOS,Arrah,Bihar,Jammu,Jammu and Kashmir,0
21,1436,1123,404,3761.58,13,Wednesday,16.08,1,0,GPay,Pending,Water Bill,MacOS,Muzaffarnagar,Uttar Pradesh,Amritsar,Punjab,0
22,938,1341,229,2412.73,16,Wednesday,79.44,0,0,PhonePe,Failed,Education Fees,iOS,Nashik,Maharashtra,Bhagalpur,Bihar,0
23,1506,1334,125,510.64,7,Thursday,57.1,0,0,Paytm,Failed,Travel Booking,MacOS,Bellary,Karnataka,Sikar,Rajasthan,0
24,1947,875,63,4870.82,12,Sunday,-64.07,1,0,GPay,Pending,Online Shopping,iOS,Patiala,Punjab,Faridabad,Haryana,1
25,1332,694,608,3613.03,10,Tuesday,-51.0,1,0,BHIM,Failed,Mobile Recharge,Android,Kamarhati,West Bengal,Jabalpur,Madhya Pradesh,1
26,1001,620,705,1877.48,8,Sunday,38.36,0,0,PhonePe,Failed,Water Bill,iOS,Ulhasnagar,Maharashtra,Rourkela,Odisha,0
27,1593,950,171,2226.15,16,Sunday,-97.68,0,0,Paytm,Failed,DTH Recharge,MacOS,Arrah,Bihar,Purnia,Bihar,1
28,1002,1314,129,4936.76,11,Friday,-4.1,1,0,GPay,Failed,DTH Recharge,iOS,Bikaner,Rajasthan,Darbhanga,Bihar,0
29,1627,1215,186,3513.98,6,Friday,-40.33,1,0,BHIM,Failed,Healthcare Services,iOS,Nellore,Andhra Pradesh,Berhampur,Odisha,1
30,131,1462,931,99.71,12,Thursday,11.21,0,0,PhonePe,Failed,Water Bill,Android,Junagadh,Gujarat,Kurnool,Andhra Pradesh,0
31,1001,131,532,4488.11,6,Wednesday,-63.87,1,0,GPay,Failed,Electricity Bill,Android,Ulhasnagar,Maharashtra,Tiruppur,Tamil Nadu,1
32,11,1137,805,644.95,2,Tuesday,-58.75,0,1,Paytm,Completed,Water Bill,Android,Cuttack,Odisha,Aurangabad,Maharashtra,1
33,1744,72,7,1818.43,8,Wednesday,8.89,0,0,GPay,Pending,Electricity Bill,Android,Amravati,Maharashtra,Kadapa,Andhra Pradesh,0
34,509,616,48,2225.16,21,Sunday,15.41,0,0,Paytm,Failed,Mobile Recharge,iOS,Nashik,Maharashtra,Durg,Chhattisgarh,0
35,1866,722,621,3313.42,6,Wednesday,-91.05,1,0,PhonePe,Completed,Water Bill,MacOS,Khammam,Telangana,Ambarnath,Maharashtra,1
36,614,441,981,1080.98,16,Friday,-28.19,0,0,PhonePe,Failed,Education Fees,iOS,Bokaro,Jharkhand,Ichalkaranji,Maharashtra,1
37,153,1127,262,4518.4,9,Friday,-19.99,1,0,Paytm,Failed,Electricity Bill,Android,Imphal,Manipur,Gaya,Bihar,1
38,1386,872,898,3663.64,9,Monday,99.07,1,0,PhonePe,Failed,Food Delivery,MacOS,Varanasi,Uttar Pradesh,Patna,Bihar,0
39,1464,763,578,1582.49,9,Monday,57.56,0,0,PhonePe,Completed,Water Bill,Windows,Sangli-Miraj & Kupwad,Maharashtra,Bokaro,Jharkhand,0
40,159,554,128,2034.5,23,Monday,-34.13,0,1,GPay,Failed,Mobile Recharge,Android,Jalgaon,Maharashtra,Etawah,Uttar Pradesh,1
41,1594,560,150,490.64,22,Friday,95.9,0,0,PhonePe,Completed,Education Fees,iOS,Muzaffarnagar,Uttar Pradesh,Bhilai,Chhattisgarh,1
42,1604,253,180,478.61,5,Tuesday,-30.22,0,1,Paytm,Pending,DTH Recharge,iOS,Dhanbad,Jharkhand,Darbhanga,Bihar,0
43,1130,556,623,1590.66,9,Monday,50.37,0,0,GPay,Completed,Travel Booking,Windows,Maheshtala,West Bengal,Nagpur,Maharashtra,0
44,1130,1218,904,638.73,23,Friday,-98.1,0,1,BHIM,Failed,Electricity Bill,Android,Maheshtala,West Bengal,Bhilwara,Rajasthan,0
45,1347,259,147,1337.58,18,Friday,83.69,0,0,BHIM,Failed,Travel Booking,Android,Bhilwara,Rajasthan,Tumkur,Karnataka,0
46,1449,511,695,916.34,7,Monday,97.25,0,0,BHIM,Pending,Gas Bill,iOS,Thiruvananthapuram,Kerala,New Delhi,Delhi,0
47,588,565,4,4289.75,20,Wednesday,89.49,1,0,PhonePe,Failed,Mobile Recharge,Android,Guwahati,Assam,Asansol,West Bengal,1
48,1732,185,432,4724.39,2,Friday,-66.98,1,1,GPay,Completed,Gas Bill,Android,Loni,Uttar Pradesh,Thoothukudi,Tamil Nadu,1
49,1135,1010,828,2543.9,6,Friday,46.16,0,0,GPay,Failed,Mobile Recharge,MacOS,Mau,Uttar Pradesh,South Dumdum,West Bengal,0
50,1404,1387,56,951.73,14,Tuesday,66.28,0,0,BHIM,Failed,Mobile Recharge,Android,Puducherry,Puducherry,Hyderabad,Telangana,1
51,1439,1095,768,3306.21,8,Monday,84.09,1,0,Paytm,Failed,Education Fees,MacOS,Junagadh,Gujarat,Guntur,Andhra Pradesh,0
